"Tareas","Tipo","Título","Descripción / HU","Criterios de Aceptación","Est.","Prioridad","Depende de","Épica","Estado","Fase","Fecha de Inicio","Fecha Fin","Responsable"
"DO-003","Documentación","Manual técnico despliegue","Despliegue en Firebase/Vercel.","Variables de entorno; Checklist post-deploy.","2 SP","Media","EN-003","EP-006","Por hacer","Fase 5: Documentación","","","jmenesess1@upao.edu.pe"
"DO-002","Documentación","Manual docente","Guía de uso paso a paso.","Capturas de pantalla; FAQ.","3 SP","Media","HU-005","EP-006","Por hacer","Fase 5: Documentación","","","jmenesess1@upao.edu.pe"
"DO-001","Documentación","Arquitectura agéntica","Diagramas y descripción de agentes.","Diagrama secuencia; Documentación interacción.","3 SP","Media","AG-002","EP-006","Por hacer","Fase 5: Documentación","","","jmenesess1@upao.edu.pe"
"HU-008","H. Usuario","Exportación y archivo del ciclo","Snapshot de datos para iniciar ciclo nuevo.","Exportar CSV/JSON; Estado limpio para nuevo ciclo.","5 SP","Alta","HU-007","EP-004","Por hacer","Fase 4: Cierre","","","jmenesess1@upao.edu.pe"
"AG-004","Tarea Técnica","Agente informes finales","Redacción resumen ejecutivo del proyecto.","Narrativa ~300 palabras; Integrado en PDF final.","5 SP","Alta","HU-007, AG-003","EP-004","Listo","Fase 4: Cierre","2026-05-27","2026-05-29","jmenesess1@upao.edu.pe"
"HU-007","H. Usuario","Reporte final de desempeño","PDF con evidencias y cumplimiento.","PDF automático; Firmado SHA-256; Descargable.","8 SP","Alta","HU-005","EP-004","Por hacer","Fase 4: Cierre","","","jmenesess1@upao.edu.pe"
"HU-006","H. Usuario","Indicador de desvío crítico","Alertas automáticas por fraude en tareas.","Score integridad; Notificación push/email; Diagnóstico AG.","8 SP","Media","AG-003, EP-003","EP-003","Por hacer","Fase 3: Analítica IA","","","jmenesess1@upao.edu.pe"
"AG-005","Tarea Técnica","Agente de Validación Semántica de Commits","Analiza los mensajes de commits con IA para verificar alineación con el backlog y detectar comentarios no profesionales.","Identifica commits constructivos; Taggea hitos aportados; Genera alertas para commits no constructivos.","5 SP","Alta","EN-002","EP-003","Listo","Fase 3: Analítica IA","2026-05-30","2026-05-30","jmenesess1@upao.edu.pe"
"AG-003","Tarea Técnica","Agente Analista de desvíos","Resumen narrativo de riesgo por grupo.","Clasifica riesgo (B/M/A); Integrado al dashboard.","5 SP","Media","EN-003","EP-003","Listo","Fase 3: Analítica IA","2026-05-25","2026-05-27","jmenesess1@upao.edu.pe"
"EN-003","Habilitador","Integración métricas FastAPI","Procesamiento de commits y avance.","API backend; Conectado a Firestore; Respuesta < 1s.","8 SP","Media","SP-003, TA-001","EP-003","Listo","Fase 3: Analítica IA","2026-05-26","2026-05-27","jmenesess1@upao.edu.pe"
